record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
BAUA_S001,"strange, disturbed, it slipped, felt observed","I was approached by people, got silly comments, and personally felt strange.",Shopping and refueling the car.,I only went shopping once.,"Yes, many. At the gas station, comments like 'Big Brother is watching you.' At work, comments as well. But some people were also interested in the experiment.","Maybe make the sensor smaller and more inconspicuous, and put grips on the glasses so they don't slip.",NA,FALSE,"seltsam, gestört, sie ist gerutscht, beobachtet","ich wurde angesprochen von leuten, habe dumme Kommentare bekommen, ich habe mich persönlich seltsam gefühlt.",Einkaufen und Tanken,ich war nur ein mal Einkaufen,ja viele. An der Tankstelle kommentare wie big brother is watching you . Auf der Arbeit kommentare. Aber einige hatten auch interesse am Experiment gezeigt,Vielleicht den sensor kleier und unauffälliger machen und die brille mit noppen damit sie nicht rutscht,NA
BAUA_S005,"Basically good. Wearing glasses was unusual at first, but I quickly got used to the extra weight.",Harassment from colleagues. I dealt with it by just enduring it.,When my colleagues constantly made it an issue. When my cat learned how to pull glasses off my face.,Mostly ignored the colleagues. I no longer held my cat so close to my face.,"Yes, a few. I was asked in the supermarket if it was a GoPro, and when I explained what it was the person seemed interested and satisfied.","There are a few things that could be improved in the app. It would be great to be able to see in the log whether you have just logged 'glasses on' or 'off', because in everyday life you sometimes forget whether you pressed and logged the button. Some of the app fields are not sensibly fillable when you are asked for time and date in a text field.",NA,FALSE,"Grundsätzlich gut. Eine Brille zu tragen war zuerst ungewohnt, aber man hat sich schnell an das zusätzlich gewicht gewöhnt.",Schikane von den Kollegen. Bin damit umgegangen in dem ich es einfach ertragen habe.,Als meine Kollegen es konstant zum Thema gemacht haben.  Als meine Katze gelernt hat wie man eine Brille vom Gesicht zieht.,Die Kollegen best gehend ignoriert.  Meine Katze nicht mehr so nah ans Gesicht gehalten.,Ja ein paar. Ich wurde im Supermarkt gefragt ob es eine go-pro ist und als ich erklärt habe was es ist schien die Person interessiert und zufrieden.,"In der App gibt es einige sachen zu verbessern. Es wäre super sehen zu können ob man grade im Log ""Brille auf"" oder ""ab"", weil man im Altag manchmal vergisst ob man den Knopf gedrückt und geloggt hat. Einige der App felder sind nicht sinnvoll ausfüllbar wenn nach Zeit und Datum in einem Textfeld gefragt wird.",NA
BAUA_S003,Sometimes uncomfortable in certain situations,My ears hurt at times because of the arms (temples) of the glasses,When the delivery man came and thought I was filming him,I actually did not adapt my behavior,"Yes, there were social reactions","No, maybe provide a tag or note stating that I'm not filming",NA,FALSE,Manchmal in gewissen Situationen Unwohl,Die hren taten teilweise durch die Bügel weh,Als der Paketbote kam und dieser meimte ich würde ihn filmen,habe ich tatsächlich nicht,ja gab es,nein vielleicht nen child mitgeben wo drauf steht ich filme nicht,NA
BAUA_S002,Okay,Glances from other people,In everyday life,Not at all,Yes,Maybe make the sensor smaller so that it is not so noticeable,NA,FALSE,in ordnung,Blicke von den Mitmenschen,im alltag,gar nicht,ja,eventuell den sensor verkleineren sodass er nicht so arg auffällt,NA
BAUA_S004,"I felt very confident and wore the glasses with pride, as part of a measurement series for a study.","Due to the lack of individual adjustment of the light glasses, they often slipped and repeatedly needed to be repositioned. Apart from that, there was no further discomfort.","In everyday life, I was observed by many people in public because of the glasses, but this did not particularly impress or influence me to wear the glasses differently. Otherwise, the light glasses had no impact on my daily activities.",No behavioral adaptation was necessary.,"Several times I was approached about wearing the light glasses, because many people associated them with a camera due to the sensors. There were comments, questions, and curiosity.","My suggestion for improving the light glasses would be to allow greater individual adjustment of the glasses, which would enable a better wearing comfort.",NA,FALSE,"Ich fühlte mich sehr selbstsicher und trug die Brille mit Stolz, teil einer Messreihe einer Studie zu sein.",Aufgrund keiner individuellen Anpassung der Lichtbrille verrutschte sie oft und mehrmaliges Nachbessern der Position wurde nötig. Weiteres Unbehagen gab es nicht.,"Im Alltag wurde ich von sehr vielen Menschen in der Öffentlichkeit beäugt, was mich jedoch nicht grßartig beeindruckte oder beeinflusste, die Brille anders zu tragen. Weiterhin hatte die Lichtbrille keine Auswirkungen auf meine alltäglichen Aktivitäten.",Es war keine Verhaltensanpassung notwendig.,"Mehrmalig wurde ich auf das Tragen der Lichtbrille angesprochen, mit dem Hintergrund, dass viele Menschen eine Kamera mit den Sensoren assoziierten. Dabei wurden Kommentare, Fragen und Neugier hinterlassen.","Mein Verbesserungsvorschlag bezüglich der Lichtbrille wären meinerseits eine größere Individualität der Brille, welche ein besseres Tragegefühl ermöglicht",NA
BAUA_S006,A bit impaired.,"Sometimes I felt uncomfortable wearing them in public. Sometimes I took them off, but I recorded this in the wearing log.","In public, such as when shopping, exercising, or taking public transport.","No, if I anticipated a particularly uncomfortable situation, I took the glasses off.",On public transport or on the train. In the supermarket.,"Could the sensor possibly be positioned a bit more inconspicuously, so that it doesn't look like a camera?",NA,TRUE,Etwas beeinträchtigt.,"In der Öffentlichkeit war es mir manchmal unangenehm. Manchmal habe ich sie abgesetzt, dies dann aber im Trageprotokoll angegeben.","In der Öffentlichkeit, also beim Einkauf, Sport oder im ÖPNV.","Nein, ich habe, falls ich eine ganz unangenehmen Situation erwartet habe, die Brille abgenommen.",Im ÖPNV oder im Zug. Im Supermarkt.,"Könnte man den Sensor evtl. etwas unaufälliger Platzieren, so dass es nicht wie eine Kamera aussieht.",NA
BAUA_S009,"Initially quite strange, later got used to it.","Initially unfamiliar, but later I was prepared for and confident about any inquiries that came up. Also, the glasses slipped when sweating or bending over.","Bathroom, sports field, public transport, supermarket, pub/restaurant.","Went to the supermarket later, when there were fewer people. Avoided going to restaurants/pubs.",Constantly. Most people actually dared to ask me about the glasses and inquire.,"- Diffuser disk centered on the dosimeter and thus mount the dosimeter in the center of the glasses.
- Dosimeter holder should be better with a clip instead of being fixed, so it could be used on my own glasses.
- Holder is too bulky. Better to have a plug-in connection directly into the dosimeter, similar to a sunshade holder for clipping on.",NA,TRUE,"Anfänglich schn komisch, später dran gewöhnt","Anfänglich ungewohnt, später auf alle aufkommenden Anfragen vorbereitet und selbstsicher. Ferner das Verrutschen der Brille beim Schwitzen oder Bücken.","Badezimmer, Sportplatz, ÖPNV, Supermarkt, Gastwirtschaft","Supermarkt später, wenn weniger los. Gastwirtschaft gemieden.","Ständig. Es trauten sich auch eine Mehrheit, mich darauf anzusprechen und nachzufragen.",- Streuscheibe mittig in den Dosimeter und somit diesen mittig auf Brille.  - Dosimeter-Halterung besser mit Clip statt fixiert und somit auf eigener Brille.  - Halterung zu klobig. Besser Steckverbindung direkt in Dosimeter ähnlich Sonnenschirmhalterung zum Draufclipsen.,NA
BAUA_S010,bad,Questioning looks from others - I lowered my gaze.,"Went for fewer walks in public places during my free time, where there are people.","I sometimes didn't go outside at all, or I took the glasses off for a minute at certain spots if I saw someone I knew approaching.","Once while driving, I was asked what it was all about—in a rather unpleasant tone. Once I was also told in a commanding and unfriendly way, that filming here is absolutely not okay.","I would change almost everything about the design—different color, less conspicuous. Skin tone. Make the camera much smaller. No glasses, that's unnecessary weight.",NA,TRUE,schlecht,fragende blicke von anderen - blick ging runter,in der freizeit-weniger spazieren gegengen wo menschen sind,"bin teilweise extra nicht mehr raus gegangen oder habe an bestimmten stellen für ne minute die brille abgemacht, wenn mir jemand bekanntes entgegen gekommen ist","ein mal  bei der autofahr, wurde ich gefragt was das soll- eher in einem unangenehmen ton. einmal wurde mir auch bestimmend und ufreundlich gesagt, das es garnicht geht hier zu filmen","ich würde fast alles am design verändern- andere farbe, weniger aufällig. hautton. kamera deutlich kleiner. keine gläser, dies ist ein unnötiges gewicht",NA
BAUA_S008,"I felt comfortable, it was just a bit unusual.","When wearing the reading glasses, people sometimes looked at me strangely. I explained it to them.",During daily activities such as shopping or going for walks.,I didn't adapt my behavior at all.,People asked what it was.,No.,NA,TRUE,"Ich habe mich wohl gefühlt , es war nur etwas ungewohnt.","Beim tragen der Lesebrille , wurde man manchmal etwas schief angeguckt. Ich habe es den Leuten dann erklärt.",Während täglichen Aktivitäten bsp. einkaufen oder das spazieren gehen.,Gar nicht angepasst,Die Menschen haben gefragt was das ist.,Nein,NA
BAUA_S011,normal,The glasses were a bit too big. I was careful that they didn’t fall off my head.,While working at the computer.,"I went about my everyday life as usual, like always.","People often looked at me strangely, for example when I was out walking the dog. I then explained the situation and it was fine.",none,NA,FALSE,normal,Die Brille war etwas zu groß. Ich war vorsichtig das sie nicht vom Kopf rutscht.,Beim Arbeiten am PC,"Ich habe ganz normal, wie immer meinen Alltag bestritten","Die Menscchen haben oft komisch geguckt, wenn ich zb. Gassi gegangen bin. Ich habe es dann erklärt und dann war es auch in Ordnung.",keine,NA
