record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
BAUA_S001,2025-06-10T06:17:00Z,NA,Brille aufsetzen  fühlt sich ungewohnt an,NA,keine,NA,Putting on the glasses feels unfamiliar.,NA,None
BAUA_S001,2025-06-10T11:55:00Z,NA,Ich stand da und eine Arbeitskollegen meinte voll cool,arbeitskollegen,Bin stolz drauf,NA,"I was standing there and a colleague said, 'Really cool.'",colleague,I'm proud of it.
BAUA_S001,2025-06-10T12:20:00Z,NA,Auf der arbeit ein anderer Arbeitskollege meinte ich würde alles aufnehmen und hat sich über mich lustig gemacht,arbeitskollege,Sie hat mich traurig gemacht,NA,"At work, another colleague said that I would record everything and made fun of me.",colleague at work,It made me sad.
BAUA_S001,2025-06-11T09:30:00Z,NA,Putzfrauen hat gesagt ich sehe futuristisch aus keine ahnung was es in mir ausgelöst hat,Putzfrau,gar keine,NA,The cleaning lady said I looked futuristic. I have no idea what it triggered in me.,Cleaning lady,Not at all
BAUA_S001,2025-06-12T15:26:00Z,NA,Ein Mann meinte beim tanken big brother is watching you,NA,Er meinte big brother is watching you,NA,A man said 'big brother is watching you' while I was refueling.,NA,He said 'big brother is watching you'.
BAUA_S001,2025-06-16T07:09:00Z,NA,Stand da und einer der Kollegen meinte dein Set hast du immer noch um hat nichts ausgelöst,arbeitskollege,keine,NA,"I was standing there and one of the colleagues said, 'You still have your set on,' but it did not trigger anything.",work colleague,none
BAUA_S002,2025-06-10T14:55:00Z,NA,werde meine Meinung nach vermehrt angeschaut,NA,keine Auswirkungen,NA,I noticed that people were looking at me more often.,NA,No influence.
BAUA_S002,2025-06-11T10:05:00Z,NA,viele Schüler*Innen sprechen mich auf die Brille an und sind interessiert warum ich es trage,NA,keine,NA,Many students approach me about the glasses and are interested in why I am wearing them.,NA,None.
BAUA_S002,2025-06-12T08:45:00Z,NA,ein Kollege hat gefragt wofür ich das trage,NA,keine,NA,A colleague asked me what I am wearing the glasses for.,NA,None
BAUA_S002,2025-06-13T11:50:00Z,NA,Ich habe das Gefühl dass die Menschen mir bewusst aus dem Weg gehen wenn ich im Bus bin weil sie bestimmt denken das ich sie Filme.,NA,Ich habe immer einen Platz neben mir frei auch wenn der Bus super voll ist:D,NA,I have the feeling that people deliberately avoid me when I am on the bus because they probably think I am filming them.,NA,I always have a seat next to me free even when the bus is super full :D
BAUA_S002,2025-06-15T14:22:00Z,NA,"wurde patzig angesprochen ob ich filmen würde und im gleichen Satz ohne meine Antwort abzuwarten hat man gesagt ich soll das ""Scheiss Ding"" wegmachen",NA,Ich habe ihm höflich erklärt dass das tragen dieser lichtbrille für eine Studie ist und ich nicht filme.,NA,"I was rudely asked if I was filming, and in the same sentence, without waiting for my answer, I was told to take off the 'damn thing.'",NA,I politely explained to him that wearing these light glasses is for a study and that I was not filming.
BAUA_S003,2025-06-11T09:14:00Z,NA,Ein Paketbote hat geschellt wegen einem Paket als ich die Tür öffnete und er mich mit der Brille sah hat er direkt losgeschrien und gesagt das ixhbihn nicht aufnehmen soll wollte dann îhm das ganze kurz erklären aber er Schmieß mir das Paket dahin und machte sich wütend aus dem Staub,NA,keine fand es einfach nur traurig das man so reagiert ohne sich erklären zu können,NA,"A parcel delivery person rang the bell because of a package. When I opened the door and he saw me with the glasses, he immediately screamed and told me not to record him. I wanted to briefly explain it to him, but he threw the package at me and angrily left in a hurry.",NA,None. I just found it sad that someone reacts like that without letting me explain.
BAUA_S004,2025-06-10T16:14:00Z,Autobahn,positives Feedback zum Tragen der Brille durch Aussehen,NA,Keine Auswirkung,Highway,Positive feedback about wearing the glasses due to their appearance.,NA,No impact.
