record_id,redcap_survey_identifier,fragebogen_zur_beurteilung_der_schlafumgebung_ase_timestamp,slypos_ase_001,slypos_ase_002,slypos_ase_003,slypos_ase_004,slypos_ase_005,slypos_ase_006,slypos_ase_007,slypos_ase_attentioncheck,slypos_ase_008,slypos_ase_009,slypos_ase_010,slypos_ase_011,slypos_ase_012,slypos_ase_0123,fragebogen_zur_beurteilung_der_schlafumgebung_ase_complete
1,BAUA_S001,"2025-06-17 09:08:37",2,4,2,4,3,3,3,4,3,3,2,4,4,3,2
2,BAUA_S005,"2025-06-17 11:40:45",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3,BAUA_S003,"2025-06-17 14:43:23",4,3,4,4,2,3,3,4,3,3,3,3,2,3,2
4,BAUA_S002,"2025-06-17 15:14:20",3,3,4,4,4,4,4,4,4,4,2,4,4,4,2
5,BAUA_S004,"2025-06-17 16:18:18",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
6,BAUA_S006,"2025-06-17 22:14:51",2,4,4,4,3,3,4,4,4,4,4,4,4,4,2
7,BAUA_S009,"2025-07-01 10:57:19",4,4,2,4,2,4,4,4,4,4,4,3,2,4,2
8,BAUA_S010,"2025-07-01 16:22:20",4,4,4,4,2,4,3,4,4,4,4,3,4,4,2
9,BAUA_S008,"2025-07-01 17:41:31",3,3,2,3,2,3,4,4,3,2,2,4,3,4,2
10,BAUA_S011,"2025-07-01 18:00:10",2,3,3,3,2,3,3,4,3,3,3,3,2,3,2
11,BAUA_S007,"2025-07-01 19:13:08",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
12,BAUA_S012,"2025-07-22 07:54:10",3,4,3,3,2,4,4,4,4,4,2,4,3,4,2
13,BAUA_S013,"2025-07-22 09:21:12",4,4,3,4,3,4,4,4,4,4,4,4,4,4,2
14,BAUA_S014,"2025-07-22 10:40:45",4,2,3,3,2,4,4,4,4,3,3,4,3,4,2
15,BAUA_S016,"2025-07-29 16:07:55",4,4,4,4,3,4,4,4,4,4,4,4,4,4,2
16,BAUA_S015,"2025-07-29 17:50:09",2,3,4,4,4,4,4,4,4,4,4,4,4,4,2
17,BAUA_S017,"2025-09-15 14:19:43",3,4,2,3,3,2,3,4,4,1,1,4,2,3,2
18,BAUA_S018,"2025-09-15 19:10:24",2,4,2,4,3,3,3,4,3,3,3,3,3,4,2
19,BAUA_S022,"2025-09-29 23:13:19",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
20,BAUA_S023,"2025-09-30 13:45:58",4,4,4,4,4,4,4,4,4,4,4,2,4,4,2
21,BAUA_S024,"2025-10-20 11:19:24",2,4,1,4,4,4,4,4,4,4,4,4,4,4,2
22,BAUA_S025,"2025-10-20 13:56:16",4,4,2,3,4,2,4,4,2,4,4,3,4,4,2
