record_id,redcap_survey_identifier,beurteilung_des_lichtexpositionsverhaltens_timestamp,leba_f2_04,leba_f2_05,leba_f2_06,leba_f2_07,leba_f2_08,leba_f2_09,leba_f3_10,leba_f3_11,leba_f3_12,leba_f3_13,leba_f3_14,leba_f4_15,leba_f4_16,leba_f4_17,leba_f4_18,leba_f5_19,leba_f5_20,leba_f5_21,leba_f5_22,leba_f5_23,beurteilung_des_lichtexpositionsverhaltens_complete
1,BAUA_S001,"2025-06-17 09:05:39",4,3,2,2,2,1,5,5,4,1,1,5,1,5,1,1,1,1,1,1,2
2,BAUA_S005,"2025-06-17 11:39:43",2,4,2,2,1,1,5,5,2,1,1,1,1,3,1,3,3,1,1,1,2
3,BAUA_S003,"2025-06-17 14:41:00",2,3,2,2,2,1,3,2,3,2,2,2,1,4,5,1,2,2,1,1,2
4,BAUA_S002,"2025-06-17 15:02:11",3,4,3,2,4,1,5,4,2,4,3,5,5,4,5,1,1,1,1,1,2
5,BAUA_S004,"2025-06-17 16:16:27",1,1,5,3,2,1,5,5,1,1,1,4,4,5,4,4,3,1,1,2,2
6,BAUA_S006,"2025-06-17 22:13:08",3,3,2,1,1,2,4,3,1,1,2,5,5,5,5,4,5,4,3,3,2
7,BAUA_S009,"2025-07-01 10:51:43",1,1,1,5,4,3,4,5,1,1,1,5,5,5,5,1,1,1,1,1,2
8,BAUA_S010,"2025-07-01 16:17:44",1,4,3,4,4,1,5,5,4,4,5,5,5,4,1,2,3,1,1,1,2
9,BAUA_S008,"2025-07-01 17:40:03",4,2,4,2,4,4,3,4,3,1,1,3,3,2,3,2,3,1,4,4,2
10,BAUA_S011,"2025-07-01 17:57:32",3,5,3,3,3,3,5,5,5,3,3,5,3,5,5,1,1,1,1,3,2
11,BAUA_S007,"2025-07-01 19:11:38",4,2,2,2,3,1,4,2,1,1,1,5,1,5,5,1,1,5,1,4,2
12,BAUA_S012,"2025-07-22 07:50:15",4,3,3,2,2,2,5,4,2,1,1,5,4,5,4,2,2,1,1,4,2
13,BAUA_S013,"2025-07-22 09:17:47",1,4,4,4,4,1,4,5,3,2,1,3,1,4,1,1,1,1,1,2,2
14,BAUA_S014,"2025-07-22 10:39:01",1,1,2,5,5,1,1,2,1,2,1,5,5,5,5,1,1,1,4,1,2
15,BAUA_S016,"2025-07-29 16:06:11",3,3,2,1,1,1,5,4,1,4,1,3,1,5,3,1,2,4,1,5,2
16,BAUA_S015,"2025-07-29 17:47:53",2,2,4,2,2,1,5,4,2,1,1,5,1,3,1,1,1,1,1,1,2
17,BAUA_S017,"2025-09-15 14:17:18",5,4,4,3,3,4,5,4,2,1,1,5,1,4,1,3,1,1,1,1,2
18,BAUA_S018,"2025-09-15 19:09:01",2,4,4,2,4,2,4,4,1,1,1,4,5,5,4,3,3,2,1,2,2
19,BAUA_S022,"2025-09-29 23:10:59",3,2,2,1,4,1,2,1,1,1,1,1,1,5,1,1,4,5,1,2,2
20,BAUA_S023,"2025-09-30 13:42:45",3,2,1,1,1,1,5,5,4,1,1,5,5,5,5,4,4,1,1,5,2
21,BAUA_S024,"2025-10-20 11:18:10",2,1,1,1,1,1,5,3,1,5,3,4,1,5,1,1,4,1,1,4,2
22,BAUA_S025,"2025-10-20 13:53:57",2,1,4,1,1,4,5,5,4,1,1,5,5,5,4,5,5,2,1,4,2
