record_id,redcap_survey_identifier,offene_fragen_zur_erfahrung_timestamp,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,offene_fragen_zur_erfahrung_complete
1,BAUA_S001,"2025-06-17 09:17:23",0,"seltsam, gestört, sie ist gerutscht, beobachtet","ich wurde angesprochen von leuten, habe dumme Kommentare bekommen, ich habe mich persönlich seltsam gefühlt.","Einkaufen und Tanken","ich war nur ein mal Einkaufen ","ja viele. An der Tankstelle kommentare wie big brother is watching you . Auf der Arbeit kommentare. Aber einige hatten auch interesse am Experiment gezeigt","Vielleicht den sensor kleier und unauffälliger machen und die brille mit noppen damit sie nicht rutscht",2
2,BAUA_S005,"2025-06-17 11:48:00",0,"Grundsätzlich gut. Eine Brille zu tragen war zuerst ungewohnt, aber man hat sich schnell an das zusätzlich gewicht gewöhnt.","Schikane von den Kollegen. Bin damit umgegangen in dem ich es einfach ertragen habe.","Als meine Kollegen es konstant zum Thema gemacht haben.  Als meine Katze gelernt hat wie man eine Brille vom Gesicht zieht.","Die Kollegen best gehend ignoriert.  Meine Katze nicht mehr so nah ans Gesicht gehalten.","Ja ein paar. Ich wurde im Supermarkt gefragt ob es eine go-pro ist und als ich erklärt habe was es ist schien die Person interessiert und zufrieden.","In der App gibt es einige sachen zu verbessern. Es wäre super sehen zu können ob man grade im Log ""Brille auf"" oder ""ab"", weil man im Altag manchmal vergisst ob man den Knopf gedrückt und geloggt hat. Einige der App felder sind nicht sinnvoll ausfüllbar wenn nach Zeit und Datum in einem Textfeld gefragt wird.",2
3,BAUA_S003,"2025-06-17 14:46:11",0,"Manchmal in gewissen Situationen Unwohl","Die hren taten teilweise durch die Bügel weh","Als der Paketbote kam und dieser meimte ich würde ihn filmen","habe ich tatsächlich nicht","ja gab es","nein vielleicht nen child mitgeben wo drauf steht ich filme nicht",2
4,BAUA_S002,"2025-06-17 15:17:13",0,"in ordnung","Blicke von den Mitmenschen","im alltag","gar nicht ",ja,"eventuell den sensor verkleineren sodass er nicht so arg auffällt ",2
5,BAUA_S004,"2025-06-17 16:28:29",0,"Ich fühlte mich sehr selbstsicher und trug die Brille mit Stolz, teil einer Messreihe einer Studie zu sein.","Aufgrund keiner individuellen Anpassung der Lichtbrille verrutschte sie oft und mehrmaliges Nachbessern der Position wurde nötig. Weiteres Unbehagen gab es nicht. ","Im Alltag wurde ich von sehr vielen Menschen in der Öffentlichkeit beäugt, was mich jedoch nicht grßartig beeindruckte oder beeinflusste, die Brille anders zu tragen. Weiterhin hatte die Lichtbrille keine Auswirkungen auf meine alltäglichen Aktivitäten. ","Es war keine Verhaltensanpassung notwendig.","Mehrmalig wurde ich auf das Tragen der Lichtbrille angesprochen, mit dem Hintergrund, dass viele Menschen eine Kamera mit den Sensoren assoziierten. Dabei wurden Kommentare, Fragen und Neugier hinterlassen.","Mein Verbesserungsvorschlag bezüglich der Lichtbrille wären meinerseits eine größere Individualität der Brille, welche ein besseres Tragegefühl ermöglicht",2
6,BAUA_S006,"2025-06-17 22:30:20",1,"Etwas beeinträchtigt.","In der Öffentlichkeit war es mir manchmal unangenehm. Manchmal habe ich sie abgesetzt, dies dann aber im Trageprotokoll angegeben.","In der Öffentlichkeit, also beim Einkauf, Sport oder im ÖPNV.","Nein, ich habe, falls ich eine ganz unangenehmen Situation erwartet habe, die Brille abgenommen.","Im ÖPNV oder im Zug. Im Supermarkt.","Könnte man den Sensor evtl. etwas unaufälliger Platzieren, so dass es nicht wie eine Kamera aussieht.",2
7,BAUA_S009,"2025-07-01 11:12:25",1,"Anfänglich schn komisch, später dran gewöhnt","Anfänglich ungewohnt, später auf alle aufkommenden Anfragen vorbereitet und selbstsicher. Ferner das Verrutschen der Brille beim Schwitzen oder Bücken. ","Badezimmer, Sportplatz, ÖPNV, Supermarkt, Gastwirtschaft","Supermarkt später, wenn weniger los. Gastwirtschaft gemieden.","Ständig. Es trauten sich auch eine Mehrheit, mich darauf anzusprechen und nachzufragen."," - Streuscheibe mittig in den Dosimeter und somit diesen mittig auf Brille.  - Dosimeter-Halterung besser mit Clip statt fixiert und somit auf eigener Brille.  - Halterung zu klobig. Besser Steckverbindung direkt in Dosimeter ähnlich Sonnenschirmhalterung zum Draufclipsen.",2
8,BAUA_S010,"2025-07-01 16:30:19",1,schlecht,"fragende blicke von anderen - blick ging runter ","in der freizeit-weniger spazieren gegengen wo menschen sind","bin teilweise extra nicht mehr raus gegangen oder habe an bestimmten stellen für ne minute die brille abgemacht, wenn mir jemand bekanntes entgegen gekommen ist","ein mal  bei der autofahr, wurde ich gefragt was das soll- eher in einem unangenehmen ton. einmal wurde mir auch bestimmend und ufreundlich gesagt, das es garnicht geht hier zu filmen","ich würde fast alles am design verändern- andere farbe, weniger aufällig. hautton. kamera deutlich kleiner. keine gläser, dies ist ein unnötiges gewicht",2
9,BAUA_S008,"2025-07-01 17:45:31",1,"Ich habe mich wohl gefühlt , es war nur etwas ungewohnt.","Beim tragen der Lesebrille , wurde man manchmal etwas schief angeguckt. Ich habe es den Leuten dann erklärt.","Während täglichen Aktivitäten bsp. einkaufen oder das spazieren gehen.","Gar nicht angepasst ","Die Menschen haben gefragt was das ist.",Nein,2
10,BAUA_S011,"2025-07-01 18:03:57",0,normal,"Die Brille war etwas zu groß. Ich war vorsichtig das sie nicht vom Kopf rutscht.","Beim Arbeiten am PC","Ich habe ganz normal, wie immer meinen Alltag bestritten ","Die Menscchen haben oft komisch geguckt, wenn ich zb. Gassi gegangen bin. Ich habe es dann erklärt und dann war es auch in Ordnung.",keine,2
