#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.3
LOG_FILE_VERSION : 1.0.4
LOG_CREATION_SV : 2.2.3
SUBJECT_NAME : BAUA_S008_h
SUBJECT_GENDER : Female
SUBJECT_DATE_OF_BIRTH : 01/01/2000
DEVICE_PLACEMENT : 
SUBJECT_DESCRIPTION : -
DEVICE_ID : 4030
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.8
MEMORY_SIZE : 7963136
LOG_SIZE : 239324
MEMORY_USAGE : 3.01 %
BATTERY_VOLTAGE : 3.4406
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 16
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 01/07/2025 17:39:32
CONNECTION_SYSTEM_DATE_TIME : 01/07/2025 17:38:40
CONNECTION_DEVICE_DATE_TIME : 01/01/2000 00:02:13
SCORING_INFO : 
+-------------------------------------------------------+
DATE/TIME;EVENT;TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;IR LIGHT;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR;STATE
24/06/2025 10:02:27;0;26.00;16;65;6.5;2;0.2;6;0.6;294.66;0.01;213;158;0.0063;0.0185;0.0199;0.0268;0.0561;0.0503;0.0385;0.0181;210.45;0.11;4
24/06/2025 10:02:37;0;26.06;16;0;0;0;0;0;0;321.56;0.01;211;159;0.0070;0.0204;0.0220;0.0294;0.0612;0.0547;0.0420;0.0195;232.16;0.12;4
24/06/2025 10:02:47;0;26.06;16;1250;125;35;3.5;63;6.3;323.31;0.01;207;153;0.0071;0.0205;0.0221;0.0296;0.0615;0.0549;0.0422;0.0196;233.73;0.12;0
24/06/2025 10:02:57;0;26.12;4;1169;116.9;28;2.8;93;9.3;64.89;0.01;207;153;0.0013;0.0035;0.0039;0.0055;0.0114;0.0136;0.0141;0.0086;38.69;0.03;0
24/06/2025 10:03:07;0;26.19;4;2020;202;61;6.1;123;12.3;78.13;0.01;207;153;0.0015;0.0040;0.0046;0.0070;0.0136;0.0166;0.0160;0.0097;46.00;0.04;0
24/06/2025 10:03:17;0;26.12;4;1685;168.5;49;4.9;87;8.7;276.91;0.02;207;153;0.0054;0.0155;0.0172;0.0254;0.0508;0.0523;0.0424;0.0224;181.04;0.11;0
24/06/2025 10:03:27;0;26.19;4;764;76.4;21;2.1;51;5.1;296.81;0.02;207;153;0.0063;0.0181;0.0196;0.0277;0.0557;0.0529;0.0413;0.0210;206.07;0.12;0
24/06/2025 10:03:37;0;26.12;16;990;99;23;2.3;67;6.7;650.49;0.04;207;153;0.0149;0.0409;0.0451;0.0609;0.1235;0.1118;0.0868;0.0462;468.69;0.25;0
24/06/2025 10:03:47;0;26.06;1;597;59.7;11;1.1;52;5.2;255.64;0.02;230;176;0.0052;0.0136;0.0160;0.0229;0.0491;0.0464;0.0360;0.0205;160.89;0.11;0
24/06/2025 10:03:57;0;26.00;2;484;48.4;6;0.6;42;4.2;130.69;0.01;230;176;0.0028;0.0074;0.0086;0.0124;0.0244;0.0243;0.0199;0.0116;86.29;0.06;0
